name,link,risk
LIC MF Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/lic-mf-banking-financial-services-fund-direct-growth,Very High Risk
ITI Long Term Equity Fund Direct Growth,https://groww.in/mutual-funds/iti-long-term-equity-fund-direct-growth,Moderately High Risk
DSP Top 100 Equity Direct Plan Growth,https://groww.in/mutual-funds/dsp-blackrock-top-100-equity-fund-direct-growth,Very High Risk
Invesco India PSU Equity Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-psu-equity-fund-direct-growth,Very High Risk
Edelweiss Focused Equity Fund Direct Growth,https://groww.in/mutual-funds/edelweiss-focused-equity-fund-direct-growth,Very High Risk
Aditya Birla Sun Life MNC Direct Fund Growth,https://groww.in/mutual-funds/birla-sun-life-mnc-fund-direct-growth,Very High Risk
SBI Magnum Equity ESG Fund Direct Plan Growth,https://groww.in/mutual-funds/sbi-magnum-equity-fund-direct-growth,Very High Risk
UTI Value Opportunities Fund Direct Growth,https://groww.in/mutual-funds/uti-opportunities-fund-direct-growth,Very High Risk
Franklin India Bluechip Direct Fund Growth,https://groww.in/mutual-funds/franklin-india-bluechip-direct-growth,Very High Risk
Nippon India Value Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-value-fund-direct-growth,Very High Risk
Franklin India Technology Fund Direct Growth,https://groww.in/mutual-funds/franklin-infotech-fund-direct-growth,Very High Risk
Invesco India Tax Plan Direct Growth,https://groww.in/mutual-funds/invesco-india-tax-plan-direct-growth,Very High Risk
Sundaram Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/sundaram-select-midcap-direct-growth,Very High Risk
Baroda BNP Paribas Midcap Direct Growth,https://groww.in/mutual-funds/baroda-bnp-paribas-midcap-direct-growth,Very High Risk
Aditya Birla Sun Life Mid Cap Direct Fund Growth,https://groww.in/mutual-funds/birla-sun-life-mid-cap-fund-plan-a-direct-growth,Very High Risk
Aditya Birla Sun Life Dividend Yield Fund Direct Growth,https://groww.in/mutual-funds/birla-sun-life-dividend-yield-plus-direct-growth,Very High Risk
ITI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/iti-small-cap-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth,https://groww.in/mutual-funds/aditya-birla-sun-life-pharma-healthcare-fund-direct-growth,High Risk
Canara Robeco Value Fund Direct Growth,https://groww.in/mutual-funds/canara-robeco-value-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Infrastructure Direct Fund Growth,https://groww.in/mutual-funds/birla-sun-life-infrastructure-fund-plan-a-direct-growth,Very High Risk
Union Midcap Fund Direct Growth,https://groww.in/mutual-funds/union-midcap-fund-direct-growth,Very High Risk
UTI Transportation and Logistics Fund Direct Growth,https://groww.in/mutual-funds/uti-transportation-and-logistics-fund-direct-growth,Very High Risk
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,https://groww.in/mutual-funds/icici-prudential-top-100-fund-direct-growth,Very High Risk
Edelweiss Recently Listed IPO Fund Direct Growth,https://groww.in/mutual-funds/edelweiss-maiden-opportunities-fund-series-1-direct-growth,Very High Risk
Baroda BNP Paribas India Consumption Fund Direct Growth,https://groww.in/mutual-funds/baroda-bnp-paribas-india-consumption-fund-direct-growth,Very High Risk
Tata Resources & Energy Fund Direct Growth,https://groww.in/mutual-funds/tata-resources-energy-fund-direct-growth,Very High Risk
UTI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-small-cap-fund-direct-growth,Very High Risk
Navi ELSS Tax Saver Nifty 50 Index Fund Direct Growth,https://groww.in/mutual-funds/navi-elss-tax-saver-nifty-50-index-fund-direct-growth,Very High Risk
PGIM India Small Cap Fund Direct Growth,https://groww.in/mutual-funds/pgim-india-small-cap-fund-direct-growth,Very High Risk
Mirae Asset Great Consumer Fund Direct Growth,https://groww.in/mutual-funds/mirae-asset-great-consumer-fund-direct-growth,Very High Risk
HDFC Dividend Yield Fund Direct Growth,https://groww.in/mutual-funds/hdfc-dividend-yield-fund-direct-growth,Very High Risk
Union Small Cap Fund Direct Growth,https://groww.in/mutual-funds/union-small-and-midcap-fund-direct-growth,Very High Risk
Nippon India Power & Infra Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-power-infra-fund-direct-growth,Very High Risk
HDFC Focused 30 Fund Direct Plan Growth,https://groww.in/mutual-funds/hdfc-core-satellite-fund-direct-growth,Very High Risk
Axis Multicap Fund Direct Growth,https://groww.in/mutual-funds/axis-multicap-fund-direct-growth-c,Very High Risk
Quant Quantamental Fund Direct Growth,https://groww.in/mutual-funds/quant-quantamental-fund-direct-growth,Very High Risk
Invesco India ESG Equity Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-esg-equity-fund-direct-growth,Very High Risk
JM Value Fund Direct Plan Growth,https://groww.in/mutual-funds/jm-basic-fund-direct-growth,Very High Risk
Aditya Birla Sun Life International Equity Fund Plan B Direct Growth,https://groww.in/mutual-funds/birla-sun-life-international-equity-fund-plan-b-direct-growth,Very High Risk
Taurus Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/taurus-starshare-fund-direct-growth,Very High Risk
Taurus Largecap Equity Fund Direct Growth,https://groww.in/mutual-funds/taurus-bonanza-fund-direct-growth,Very High Risk
DSP Focus Direct Plan Growth,https://groww.in/mutual-funds/dsp-blackrock-focus-25-fund-direct-growth,Very High Risk
UTI Focussed Equity Fund Series I (2195 Days) Direct Growth,https://groww.in/mutual-funds/uti-focussed-equity-fund-series-i-direct-growth,Moderately High Risk
Taurus Tax Shield Direct Growth,https://groww.in/mutual-funds/taurus-taxshield-direct-growth,Very High Risk
Navi Large Cap Equity Fund Direct Growth,https://groww.in/mutual-funds/navi-large-cap-equity-fund-direct-growth,Very High Risk
IDBI Equity Advantage Fund Direct Growth,https://groww.in/mutual-funds/idbi-equity-advantage-fund-direct-growth,Very High Risk
IDBI Long Term Value Fund Direct Growth,https://groww.in/mutual-funds/idbi-long-term-value-fund-direct-growth,Very High Risk
HSBC Large Cap Fund Direct Growth,https://groww.in/mutual-funds/hsbc-equity-fund-direct-growth,Very High Risk
Indiabulls Value Fund Direct Growth,https://groww.in/mutual-funds/indiabulls-value-discovery-fund-direct-growth,Very High Risk
Taurus Infrastructure Fund Direct Growth,https://groww.in/mutual-funds/taurus-infrastructure-fund-direct-growth,Very High Risk
JM Focused Direct Plan Growth,https://groww.in/mutual-funds/jm-core-11-fund-direct-growth,Very High Risk
Invesco India Infrastructure Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-infrastructure-fund-direct-growth,Very High Risk
ICICI Prudential Transportation and Logistics Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-transportation-and-logistics-fund-direct-growth,Very High Risk
Motilal Oswal Large and Midcap Fund Direct Growth,https://groww.in/mutual-funds/motilal-oswal-large-and-midcap-fund-direct-growth,Moderately High Risk
ICICI Prudential Midcap Direct Plan Growth,https://groww.in/mutual-funds/icici-prudential-midcap-fund-direct-growth,Very High Risk
LIC MF Large & Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/lic-mf-midcap-fund-direct-growth,Very High Risk
HDFC Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/hdfc-banking-financial-services-fund-direct-growth,Very High Risk
Nippon India Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-banking-financial-services-fund-direct-growth,Very High Risk
Invesco India Contra Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-contra-fund-direct-growth,Very High Risk
DSP Flexi Cap Fund Direct Plan Growth,https://groww.in/mutual-funds/dsp-blackrock-equity-fund-direct-growth,Very High Risk
Nippon India Taiwan Equity Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-taiwan-equity-fund-direct-growth,Very High Risk
Nippon India US Equity Opportunities Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-us-equity-opportunities-fund-direct-growth,Very High Risk
Quant Value Fund Direct Growth,https://groww.in/mutual-funds/quant-value-fund-direct-growth,Very High Risk
Mahindra Manulife Large & Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/mahindra-top-250-nivesh-yojana-direct-growth,Moderately High Risk
Sundaram Large Cap Fund Direct Growth,https://groww.in/mutual-funds/sundaram-bluechip-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/aditya-birla-sun-life-multi-cap-fund-direct-growth,Very High Risk
Canara Robeco Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/canara-robeco-mid-cap-fund-direct-growth,Very High Risk
HDFC Top 100 Fund Direct Plan Growth,https://groww.in/mutual-funds/hdfc-top-200-direct-growth,Very High Risk
ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth,https://groww.in/mutual-funds/icici-prudential-long-term-equity-fund-tax-saving-direct-growth,Very High Risk
Tata Banking and Financial Services Fund Direct Growth,https://groww.in/mutual-funds/tata-banking-and-financial-services-fund-direct-growth,Very High Risk
HDFC Taxsaver Direct Plan Growth,https://groww.in/mutual-funds/hdfc-taxsaver-direct-growth,Very High Risk
Franklin India Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/franklin-india-prima-plus-direct-growth,Very High Risk
Tata Midcap Growth Direct Plan Growth,https://groww.in/mutual-funds/tata-mid-cap-growth-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/birla-sun-life-equity-fund-direct-growth,Very High Risk
ICICI Prudential Dividend Yield Equity Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-dividend-yield-equity-fund-direct-growth,Very High Risk
ICICI Prudential India Opportunities Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-india-opportunities-fund-direct-growth,Very High Risk
Quant Large Cap Fund Direct Growth,https://groww.in/mutual-funds/quant-large-cap-fund-direct-growth,Very High Risk
Mirae Asset Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/mirae-asset-flexi-cap-fund-direct-growth,Moderately High Risk
Nippon India Tax Saver (ELSS) Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-tax-saver-elss-fund-direct-growth,Very High Risk
ICICI Prudential FMCG Direct Growth,https://groww.in/mutual-funds/icici-prudential-fmcg-direct-growth,Very High Risk
Nippon India Consumption Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-consumption-fund-direct-growth,Very High Risk
Sundaram Large and Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/sundaram-equity-multiplier-fund-direct-growth,Very High Risk
Mirae Asset Healthcare Fund Direct Growth,https://groww.in/mutual-funds/mirae-asset-healthcare-fund-direct-growth,Very High Risk
SBI Magnum Global Direct Plan Growth,https://groww.in/mutual-funds/sbi-magnum-global-fund-94-direct-growth,Very High Risk
IDBI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/idbi-small-cap-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Small Cap Fund Direct Growth,https://groww.in/mutual-funds/birla-sun-life-small-midcap-fund-direct-growth,Very High Risk
WhiteOak Capital Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/whiteoak-capital-flexi-cap-fund-direct-growth,Very High Risk
Quantum Tax Saving Fund Direct Growth,https://groww.in/mutual-funds/quantum-tax-saving-fund-direct-growth,Very High Risk
Bandhan Midcap Fund Direct Growth,https://groww.in/mutual-funds/idfc-midcap-fund-direct-growth,Very High Risk
Axis Business Cycles Fund Direct Growth,https://groww.in/mutual-funds/axis-business-cycles-fund-direct-growth,Low to Moderate Risk
LIC MF Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/lic-mf-multi-cap-fund-direct-growth,Very High Risk
HSBC Midcap Fund Direct Growth,https://groww.in/mutual-funds/hsbc-midcap-fund-direct-growth,Very High Risk
Kotak Business Cycle Fund Direct Growth,https://groww.in/mutual-funds/kotak-business-cycle-fund-direct-growth,Very High Risk
Union Tax Saver (ELSS) Fund Direct Growth,https://groww.in/mutual-funds/union-tax-saver-scheme-direct-growth,Very High Risk
Samco ELSS Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/samco-elss-tax-saver-fund-direct-growth,High Risk
Aditya Birla Sun Life Focused Equity Fund Direct Growth,https://groww.in/mutual-funds/birla-sun-life-top-100-fund-direct-growth,Very High Risk
Kotak ESG Opportunities Fund Direct Growth,https://groww.in/mutual-funds/kotak-esg-opportunities-fund-direct-growth,Very High Risk
Indiabulls Tax Savings Fund Direct Growth,https://groww.in/mutual-funds/indiabulls-tax-savings-fund-direct-growth,Very High Risk
HSBC Focused Fund Direct Growth,https://groww.in/mutual-funds/hsbc-focused-equity-fund-direct-growth,Very High Risk
UTI Focussed Equity Fund Series VI (1150 Days) Direct Growth,https://groww.in/mutual-funds/uti-focussed-equity-fund-series-vi-direct-growth,Very High Risk
Bandhan Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/idfc-premier-equity-fund-direct-growth,Very High Risk
Mahindra Manulife Large Cap Fund Direct Growth,https://groww.in/mutual-funds/mahindra-pragati-bluechip-yojana-direct-growth,Moderately High Risk
Quantum India ESG Equity Fund Direct Growth,https://groww.in/mutual-funds/quantum-india-esg-equity-fund-direct-growth,High Risk
BNP Paribas Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/bnp-paribas-dividend-yield-fund-direct-growth,Very High Risk
Principal Midcap Fund Direct Growth,https://groww.in/mutual-funds/principal-midcap-fund-direct-growth,Moderately High Risk
Sundaram Tax Savings Fund Direct,https://groww.in/mutual-funds/sundaram-tax-savings-fund-direct,Very High Risk
Shriram Long Term Equity Fund Direct Growth,https://groww.in/mutual-funds/shriram-long-term-equity-fund-direct-growth,Very High Risk
ITI Large Cap Fund Direct Growth,https://groww.in/mutual-funds/iti-large-cap-fund-direct-growth,Very High Risk
IDBI Healthcare Fund Direct Growth,https://groww.in/mutual-funds/idbi-healthcare-fund-direct-growth,High Risk
IDBI Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/idbi-diversified-equity-fund-direct-growth,Very High Risk
Sundaram Diversified Equity Fund Direct Growth,https://groww.in/mutual-funds/sundaram-taxsaver-open-ended-fund-direct-growth,Very High Risk
Axis ESG Equity Fund Direct Growth,https://groww.in/mutual-funds/axis-esg-equity-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Equity Advantage Fund Direct Growth,https://groww.in/mutual-funds/birla-sun-life-advantage-fund-direct-growth,Very High Risk
HSBC Large and Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/hsbc-large-and-mid-cap-equity-fund-direct-growth,Moderately High Risk
Mirae Asset Banking and Financial Services Fund Direct Growth,https://groww.in/mutual-funds/mirae-asset-banking-and-financial-services-fund-direct-growth,Very High Risk
Baroda BNP Paribas Business Cycle Fund Direct Growth,https://groww.in/mutual-funds/baroda-business-cycle-fund-direct-growth,Very High Risk
Mahindra Manulife Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/mahindra-manulife-flexi-cap-yojana-direct-growth,Very High Risk
HDFC Housing Opportunities Fund Direct Growth,https://groww.in/mutual-funds/hdfc-housing-opportunities-fund-series-1-direct-growth,Very High Risk
Nippon India Japan Equity Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-japan-equity-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Special Opportunities Fund Direct Growth,https://groww.in/mutual-funds/aditya-birla-sun-life-special-opportunities-fund-direct-growth,Very High Risk
Edelweiss Large Cap Fund Direct Growth,https://groww.in/mutual-funds/edelweiss-top-100-fund-direct-growth,Very High Risk
Baroda BNP Paribas ELSS Direct Growth,https://groww.in/mutual-funds/baroda-bnp-paribas-elss-direct-growth,Very High Risk
IDBI Midcap Fund Direct Growth,https://groww.in/mutual-funds/idbi-midcap-fund-direct-growth,Very High Risk
Bandhan Large Cap Fund Direct Growth,https://groww.in/mutual-funds/idfc-equity-fund-direct-growth,Very High Risk
Sundaram Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/sundaram-multi-cap-fund-direct-growth,Very High Risk
LIC MF Large Cap Fund Direct Growth,https://groww.in/mutual-funds/lic-mf-growth-fund-direct-growth,Very High Risk
Templeton India Equity Income Direct Plan Growth,https://groww.in/mutual-funds/templeton-india-equity-i-come-fund-direct-growth,Very High Risk
Bank of India Manufacturing & Infrastructure Direct Growth,https://groww.in/mutual-funds/boi-axa-manufacturing-infrastructure-fund-direct-growth,Very High Risk
Baroda BNP Paribas Large & Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/baroda-large-mid-cap-fund-direct-growth,Very High Risk
JM Flexicap Fund Direct Plan Growth,https://groww.in/mutual-funds/jm-multi-strategy-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Business Cycle Fund Direct Growth,https://groww.in/mutual-funds/aditya-birla-sun-life-business-cycle-fund-direct-growth,Very High Risk
Baroda Midcap Direct Fund Growth,https://groww.in/mutual-funds/baroda-pioneer-mid-cap-fund-direct-growth,Very High Risk
Kotak Manufacture in India Fund Direct Growth,https://groww.in/mutual-funds/kotak-manufacture-in-india-fund-direct-growth,Very High Risk
Sundaram Select Focus Fund Direct Growth,https://groww.in/mutual-funds/sundaram-select-focus-direct-growth,Very High Risk
Invesco India Multicap Fund Direct Growth,https://groww.in/mutual-funds/invesco-india-mid-n-small-cap-fund-direct-growth,Very High Risk
Quant ESG Equity Fund Direct Growth,https://groww.in/mutual-funds/quant-esg-equity-fund-direct-growth,Very High Risk
Principal Small Cap Fund Direct Growth,https://groww.in/mutual-funds/principal-small-cap-fund-direct-growth,Moderately High Risk
WhiteOak Capital Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/whiteoak-capital-tax-saver-fund-direct-growth,Very High Risk
Aditya Birla Sun Life Pure Value Direct Fund Growth,https://groww.in/mutual-funds/birla-sun-life-pure-value-fund-direct-growth,Very High Risk
SBI Magnum COMMA Fund Direct Growth,https://groww.in/mutual-funds/sbi-magnum-comma-fund-direct-growth,Very High Risk
ICICI Prudential MNC Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-mnc-fund-direct-growth,High Risk
Quant Small Cap Fund Direct Plan Growth,https://groww.in/mutual-funds/quant-small-cap-fund-direct-plan-growth,Very High Risk
ICICI Prudential Commodities Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-commodities-fund-direct-growth,High Risk
ICICI Prudential Technology Direct Plan Growth,https://groww.in/mutual-funds/icici-prudential-technology-fund-direct-growth,Very High Risk
Tata Digital India Fund Direct Growth,https://groww.in/mutual-funds/tata-digital-india-fund-direct-growth,Very High Risk
Nippon India Small Cap Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-small-cap-fund-direct-growth,Very High Risk
Parag Parikh Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/parag-parikh-long-term-value-fund-direct-growth,Very High Risk
Axis Small Cap Fund Direct Growth,https://groww.in/mutual-funds/axis-small-cap-fund-direct-growth,Very High Risk
Canara Robeco Small Cap Fund Direct Growth,https://groww.in/mutual-funds/canara-robeco-small-cap-fund-direct-growth,Very High Risk
SBI Small Cap Fund Direct Growth,https://groww.in/mutual-funds/sbi-small-midcap-fund-direct-growth,Very High Risk
Quant Tax Plan Direct Growth,https://groww.in/mutual-funds/quant-tax-plan-direct-growth,Very High Risk
ICICI Prudential Bluechip Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-focused-bluechip-equity-fund-direct-growth,Very High Risk
Kotak Small Cap Fund Direct Growth,https://groww.in/mutual-funds/kotak-midcap-fund-direct-growth,Very High Risk
PGIM India Midcap Opportunities Fund Direct Growth,https://groww.in/mutual-funds/pgim-india-midcap-opportunities-fund-direct-growth,Very High Risk
Axis Bluechip Fund Direct Plan Growth,https://groww.in/mutual-funds/axis-equity-fund-direct-growth,Very High Risk
Quant Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/quant-mid-cap-fund-direct-growth,Very High Risk
Motilal Oswal Midcap Fund Direct Growth,https://groww.in/mutual-funds/motilal-oswal-most-focused-midcap-30-fund-direct-growth,Very High Risk
ICICI Prudential Banking and Financial Services Direct Plan Growth,https://groww.in/mutual-funds/icici-prudential-banking-and-financial-services-fund-direct-growth,Very High Risk
ICICI Prudential Infrastructure Direct Growth,https://groww.in/mutual-funds/icici-prudential-infrastructure-fund-direct-growth,Very High Risk
Kotak Nifty Smallcap 50 Index Fund Direct Growth,https://groww.in/mutual-funds/kotak-nifty-smallcap-50-index-fund-direct-growth,Very High Risk
Kotak Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/kotak-taxsaver-direct-growth,Very High Risk
Quant Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/quant-flexi-cap-fund-direct-growth,Very High Risk
Quant Large and Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/quant-large-and-mid-cap-fund-direct-growth,Very High Risk
HDFC S&P BSE 500 Index Fund Direct Growth,https://groww.in/mutual-funds/hdfc-s-p-bse-500-index-fund-direct-growth,Very High Risk
Kotak Bluechip Fund Direct Growth,https://groww.in/mutual-funds/kotak-50-direct-growth,Very High Risk
PGIM India Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/pgim-india-flexi-cap-fund-direct-growth,Very High Risk
SBI Multicap Fund Direct Growth,https://groww.in/mutual-funds/sbi-multicap-fund-direct-growth,Very High Risk
SBI Large & Midcap Fund Direct Plan Growth,https://groww.in/mutual-funds/sbi-magnum-multiplier-fund-direct-growth,Very High Risk
DSP Small Cap Direct Plan Growth,https://groww.in/mutual-funds/dsp-blackrock-micro-cap-fund-direct-growth,Very High Risk
UTI Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/uti-equity-fund-direct-growth,Very High Risk
Axis Flexi Cap Fund Direct Growth,https://groww.in/mutual-funds/axis-flexi-cap-fund-direct-growth,Very High Risk
IDBI Focused 30 Equity Fund Direct Growth,https://groww.in/mutual-funds/idbi-focused-30-equity-fund-direct-growth,Very High Risk
HSBC Infrastructure Equity Fund Direct Growth,https://groww.in/mutual-funds/hsbc-infrastructure-equity-fund-direct-growth,Very High Risk
Baroda BNP Paribas Focused Fund Direct Growth,https://groww.in/mutual-funds/baroda-bnp-paribas-focused-fund-direct-growth,Very High Risk
Baroda Large Cap Direct Fund Growth,https://groww.in/mutual-funds/baroda-pioneer-large-cap-fund-direct-growth,Very High Risk
SBI Focused Equity Fund Direct Plan Growth,https://groww.in/mutual-funds/sbi-emerg-buss-fund-direct-growth,Very High Risk
SBI Banking & Financial Services Fund Direct Growth,https://groww.in/mutual-funds/sbi-banking-financial-services-fund-direct-growth,Very High Risk
DSP Tax Saver Direct Plan Growth,https://groww.in/mutual-funds/dsp-blackrock-tax-saver-fund-direct-growth,Very High Risk
Nippon India Pharma Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-pharma-fund-direct-growth,Very High Risk
Tata Large & Mid Cap Fund Direct Plan Growth,https://groww.in/mutual-funds/tata-equity-opportunities-fund-direct-growth,Very High Risk
HSBC Small Cap Fund Direct Growth,https://groww.in/mutual-funds/hsbc-small-cap-fund-direct-growth,Very High Risk
SBI Dividend Yield Fund Direct Growth,https://groww.in/mutual-funds/sbi-dividend-yield-fund-direct-growth,Very High Risk
ICICI Prudential Value Discovery Direct Growth,https://groww.in/mutual-funds/icici-prudential-value-discovery-fund-direct-growth,Very High Risk
HDFC Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/hdfc-multi-cap-fund-direct-growth,Very High Risk
Mirae Asset Large Cap Fund Direct Growth,https://groww.in/mutual-funds/mirae-asset-india-opportunities-fund-direct-growth,Very High Risk
Tata Multicap Fund Direct Growth,https://groww.in/mutual-funds/tata-multicap-fund-direct-growth,Very High Risk
ICICI Prudential Flexicap Fund Direct Growth,https://groww.in/mutual-funds/icici-prudential-flexicap-fund-direct-growth,Very High Risk
Nippon India Large Cap Fund Direct Growth,https://groww.in/mutual-funds/nippon-india-large-cap-fund-direct-growth,Very High Risk
HDFC Large and Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/hdfc-large-cap-fund-direct-growth,Very High Risk
Canara Robeco Emerging Equities Fund Direct Growth,https://groww.in/mutual-funds/canara-robeco-emerging-equities-direct-growth,Very High Risk
Mahindra Manulife Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/mahindra-unnati-emerging-business-yojana-direct-growth,Very High Risk
Aditya Birla Sun Life PSU Equity Fund Direct Growth,https://groww.in/mutual-funds/aditya-birla-sun-life-psu-equity-fund-direct-growth,Very High Risk
Bandhan Core Equity Fund Direct Growth,https://groww.in/mutual-funds/idfc-classic-equity-fund-direct-growth,Very High Risk
Navi ELSS Tax Saver Fund Direct Growth,https://groww.in/mutual-funds/navi-elss-tax-saver-fund-direct-growth,Very High Risk
Tata Large Cap Direct Plan Growth,https://groww.in/mutual-funds/tata-large-cap-fund-direct-growth,Very High Risk
Indiabulls Bluechip Direct Fund Growth,https://groww.in/mutual-funds/indiabulls-blue-chip-fund-direct-growth,Very High Risk
Mahindra Manulife ELSS Fund Direct Growth,https://groww.in/mutual-funds/mahindra-kar-bachat-yojana-direct-growth,Very High Risk
HSBC Multi Cap Fund Direct Growth,https://groww.in/mutual-funds/hsbc-multi-cap-fund-direct-growth,Very High Risk
SBI Healthcare Opportunities Fund Direct Plan Growth,https://groww.in/mutual-funds/sbi-pharma-fund-direct-growth,Very High Risk
WhiteOak Capital Mid Cap Fund Direct Growth,https://groww.in/mutual-funds/whiteoak-capital-mid-cap-fund-direct-growth,Very High Risk
Edelweiss Large & Mid Cap Direct Plan Growth,https://groww.in/mutual-funds/edelweiss-equity-opportunities-fund-direct-growth,Very High Risk
Aditya Birla Sun Life India GenNext Direct Fund Growth,https://groww.in/mutual-funds/birla-sun-life-india-gennext-fund-direct-growth,Very High Risk
HSBC ELSS Fund Direct Growth,https://groww.in/mutual-funds/hsbc-elss-fund-direct-growth,Very High Risk
Kotak India EQ Contra Fund Direct Growth,https://groww.in/mutual-funds/kotak-classic-equity-direct-growth,Very High Risk
UTI Dividend Yield Fund Direct Growth,https://groww.in/mutual-funds/uti-dividend-yield-fund-direct-growth,Very High Risk
